C2;de;en
das Tiefland;lowland, lowlands
mitunter;sometimes, every now and then
prunkvoll;splendid, magnificent
höfisch;courtly
die Geschichtsschreibung;historiography, writing of history
das Hoheitsgebiet;territory, sovereign territory
unvermindert;unabated, undiminished, unrelieved
die Frühverrentung;early retirement
die Inwertsetzung;valorisation
das Fernmeldewesen;telecommunications
aufweisen ;have, show, exhibit, boast, present, feature
das Organisationsrecht;organisational right, law of organisation, right to organise
Abs. [der Absatz];para. [paragraph]
GG [das Grundgesetz];Basic Law, German Federal Constitution, constitution
die Richtschnur;guide, guideline, guiding principle
die Unzulänglichkeiten ;shortcomings, inadequacies, deficiencies
das Pendel;pendulum
fungieren;function, serve
die Tragweite;scope, implications, consequences, magnitude
dennoch;nevertheless, yet, still, however, nonetheless
die Einräumung;concession, grant
der Handlungsspielraum;scope, room for manoeuvre, leeway
das Dienstrecht;service law
das Entgelt;pay, remuneration, compensation, fee
die Geltendmachung;assertion, enforcement, exercise
die Gebietskörperschaft;local authority, regional authority
herbeiführen ;bring about, effect, cause, trigger
veräußern ;sell, dispose of, divest
konkludent;implied
die Verve;verve, enthusiasm, spirit
durchfechten;fight to get something through
die Fesseln ;fetters, bonds, chains, shackles
die Neugliederung;restructuring, reorganisation, reclassification
einstig;sometime, erstwhile, former, past
andernfalls;otherwise, or else, failing which
unaufhörlich;incessant, constant, unceasing
auftürmen;pile up
nachahmen ;imitate, mimic, emulate
der Bestand;stock, inventory, portfolio, holdings
abzüglich;less, minus, ex
das Gefälle;slope, gap, gradient, disparity
austarieren;tare, balance, balance out
das Tafelsilber;silverware, family silver, silver plate
die Einkünfte ;income, gains, earnings, revenue
die Auszehrung;emaciation, depletion, wasting
preisgeben ;disclose, reveal, give away, relinquish, divulge
die Niederlassungsfreiheit;freedom of establishment
billigen ;approve, endorse, okay, accept, approve of
sog. [sogenannt];so
die Schlüsselstelle;key point, key section, key position, key location, key role
infolgedessen;as a result, consequently, therefore, hence
einwenden ;object
die Errungenschaft;achievement, accomplishment, attainment
das Bekenntnis;commitment, confession, denomination, avowal
die Auskunft;information, disclosure, intelligence, advice
 Auskunft geben;inform, provide information
der Begründungszusammenhang;rationale, context of justification, correlation
der Wettlauf;race, footrace
unerlässlich;essential, indispensable, imperative, vital
die Verachtung;contempt, scorn, disdain
die Marktgängigkeit;merchantability, marketability, market mobility
verleiten;induce, tempt, entice, seduce, mislead
der Steuersatz;tax rate, rate of taxation
die Keimzelle;nucleus, hotbed, wellspring
flächendeckend;comprehensive, area
monieren ;question, complain, criticise, query
erschwinglich;affordable, accessible
zulasten;at the expense of
wenngleich;although, even though, though, albeit
der Widerhall;echo, resonance, reverberation, repercussion
flankieren;flank, accompany, support
das Geflecht;network, netting, mesh, meshwork, plexus, web
hinken;limp, hobble
die Daseinsvorsorge;public services, services of general interest, provident care for the wellbeing of people
ehern;iron, cast
einst;once, at one time, formerly
sich vollziehen;take place
das Gesichtspunkt;point of view, aspect, perspective, factor, angle
verflochten;intertwined, interwoven, interlinked, entangled
die arme Socke [Redewendung];poor soul
versetzen ;transfer, move, stand up, offset
in die Lage versetzen;enable, ensure
das Lippenbekenntnis;lip service
lenken ;steer, direct, guide, channel
vermeintlich;supposed, alleged, presumed
der Trugschluss;fallacy, false conclusion, misconception
übereinstimmen;correspond, match, concur, tally
die Auffassung;conception, view, opinion, notion
deckungsgleich;congruent
nahezu;almost, virtually, nearly, practically
sich auflehnen;rebel, revolt, rise up
sein Dasein fristen;vegetate, languish
die Auslegung;interpretation
der Schluffi;slacker
verhängnisvoll;disastrous, catastrophic, ominous, ill
die Widerlegung;refutation, rebuttal, disproof
gedeihlich;beneficial, prosperous, thriving
gedeihen;thrive, flourish, prosper, burgeon
auf Gedeih und Verderb [Redewendung];for better or worse
der Sachzwang; constraint
überbordend;exuberant, excessive, burgeoning, overt
der Müßiggang;idleness
die Obhut;care, custody
entarten;degenerate
lähmen ;paralyse, cripple, lame
ausufern;get out of hand, escalate, proliferate
entrichten;pay
spreizen ;spread
der Lohnabstand;wage gap
dreist;bold, brash, brazen, audacious, cheeky, daring
bezichtigen ;accuse, charge
lindern ;alleviate, mitigate, ease
pauken;cram, read up, bone up, swot
büffeln;cram, read up, bone up, swot
ochsen;cram, read up, bone up, swot
das Gebaren;behaviour, conduct
das Gemüt, die Gemüter;mind, temper, disposition
adipös;obese, adipose
die Kundgebung;rally, demonstration
der Unhold;fiend, monster
sich hervortun;to distinguish oneself
das Betätigungsfeld;field of activity, field of action
einst;once, at one time, yore
das Siechtum;infirmity, lingering illness, invalidism
das Stelldichein;date, tryst, tête
gebührend;due, appropriate
unversehrt;intact, unscathed, unharmed
sehenden Auges;knowingly, deliberately, with open eyes
die Pöbelei;vulgarity, vulgar remark, vulgar behaviour
aufstacheln;incite, stir up
kurzerhand;without further ado, quickly
das Grausen;horror
die Niedertracht;perfidy, malice, vileness
seinen Dienst vershen;to carry out one's duty
hegen ;to entertain, to bear, to nourish, to harbour
