A1;de;en
ich;I
sie;she
das;that, this
du;you
nicht;not
die;the
und;and
es;it
der;the
was;what
wir;we
er;he
zu;too, to
ein;one, a
in;in, into
mit;with
wie;how
ja;yes
auf;upon, on, onto, up, on top of
so;so, thus, as, such
aber;but
hier;here
für;for
von;from, of
haben;to have
dass;that
wenn;when, if
an;at, upon, on, by
nein;no
da;since, for, given that, whereas, here, there
noch;still, yet
nur;only, merely, just
Ihr;your
ihr;their, her, you
uns;us
aus;out
gut;good
das Gut;the good, item, commodity, possession, estate
schon;already, yet, even
auch;also, too, even
sein;to be
sein;his, its
jetzt;now
mal;time, instance
das Mal;the time
dann;then
als;than, as
mein;my
nach;after, to
alles;everything
man;one
oder;or
nichts;nothing
das Nichts;the nothingness
wo;where
weiß;white
werden;to become
mehr;more
warum;why
etwas;something
die Bitte;the request
bitte;please
bei;for, by, at
immer;always, ever, throughout, invariably
los;going on
der Mann;the man, the husband
vor;before, ago, in front of
sehr;very
sehen;to see
sagen;to say
wieder;again
alle;all, everybody
gehen;to go
wer;who
also;therefore, so, anyway, well
können;can, may, are able to
machen;to make, do
denn;because, since, for, then
tun;to do, to put
nie;never, at no time
über;over
kein;none, not any
vielleicht;maybe
weg;away
der Weg;the way
wissen;to know something
am;at the, by the, on the, near the
kommen;to come
das Leben;the life
leben;to live
müssen;to have to
viel;a lot
wirklich;really
Frau;Mrs., Ms.
die Frau;the woman, the wife
heute;today
die Zeit;the time
dein;your
bis;until
ganz;quite, entire, whole, complete
wollen;to want
der Gott;God
einfach;easy, simple, plain
zurück;back, behind
weil;because
dieser;this
damit;thereby, therewith, so that, in order that, hence
zwei;two
meinen;to mean, reckon, think
sicher;sure, certain, safe
das Leid;the sorrow, the grief, the suffering
der Schritt;the pace, the step, the stride, the crotch, the move
der Morgen;the morning
morgen;tomorrow
lassen;to let, to leave
Na?;well? Yeah? Well then?
die Liebe;the love
die Leute;the people
der Tag;the day
genau;exactly, precisely
der Vater;the father
das Geld;the money
durch;through
wohl;probably, indeed, arguably, well, perhaps
schön;beautiful, nice
der Glaube;the faith, belief, religious conviction
klar;clear, lucid, plain, obvious, distinct
die Mutter;the mother
die Nacht;the night
besser;better
ohne;without
reden;to talk
jemand;someone
gerade;even, right now, just then, straight
selbst;self
dort;there
das Paar;the pair, the couple
weiter;further
die Ordnung;the order, the tidiness
geben;to give
der Herr;the gentleman
Herr;Mr.
hören;to hear
das Mädchen;the girl
gar;really, well done
seit;since
die Welt;the world
gleich;immediately, equally
der Freund;the male friend, the boyfriend
der Abend;the evening
natürlich;naturally
drei;three
die Angst;the fear, the anxiety
das Recht;the right
recht;right
viele;many
finden;to find
richtig;correct
unter;under
der Junge;the boy
tot;dead
der Kern;the kernel, core, heart, nucleus
bleiben;to stay
das Haus;the house
nehmen;to take
essen;to eat
helfen;to help
sollen;should
unser;our
wegen;because of
andere;other
wieso;why
schnell;fast
erhältlich;available, obtainable, procurable
genug;enough
sonst;or else, otherwise
gegen;against, around
zusammen;together
erst;only, first
die Scheiße;the feces
der Moment;the moment
glauben;to believe
bringen;to bring
niemand;no one, nobody
brauchen;to need
warten;to wait
die Arbeit;the work
fragen;to ask, to question
sprechen;to speak
wann;when
der Verbrecher;the criminal, villain, outlaw
jeder;each, every, everybody
kennen;to be familiar with, be aware of
fertig;ready, finished, done
einmal;once
halten;to hold, to stop, to keep
sofort;immediate, immediately, instantly, right away
der Sohn;the son
bevor;before
das Kind;the child
die Uhr;the watch, the clock
wahr;true, genuine, real
Lieber;Dear
lieber;rather
allein;alone
der Kopf;the head
denken;to think
die Sache;the thing
der Bruder;the brother
gern;gladly
das Ende;the end, ending, finish, conclusion
später;later
fahren;to drive, to go
vergessen;to forget, forgotten
die Stadt;the town, the city
das Problem;the problem
der Dank;the thanks
eins;one
die Frage;the question
egal;indifferent, similar, regardless
die Familie;the family
weit;far, wide, broad
die Musik;the music
sterben;to die
die Hilfe;the help
beide;both
bald;soon
das Land;the country, the state
das Glück;the luck, the happiness
das Baby;the baby
verrückt;crazy, lunatic
die Tür;the door
ruhig;calm, quiet
das Auto;the car
dies;this
das Wasser;the water
die Ruhe;the peace, the quiet
je;each
der Krieg;the war
stehen;1. to stand 2. to suit, to fit well
der Fall;the case, the event
die Hand;the hand
lang;long
hoch;high
eigentlich;actually
töten;to kill
fast;almost
die Polizei;the police
spielen;to play
hinter;behind
sogar;even, yet, actually
der Teufel;the devil
der Name;the name
oben;above, above, up, on top
spät;late
bekommen;to get, obtain, receive
bereit;ready, poised, prepared
die Mama;the mama, mom, mum
woher;from where
arbeiten;to work
verstehen;to understand
das Verstehen;the comprehension, understanding
der Tod;the death
das Jahr;the year
der Wagen;the car
wagen;to dare, venture, wage, risk
toll;great
fünf;five
etwa;about, some, roughly, approximately
die Geschichte;the history
draußen;outside
treffen;to meet, to hit, to make
der Job;the job
nett;nice
echt;genuine
vier;four
das Zimmer;the room
anders;different, otherwise, else
die Art;the kind, the type
die Woche;the week
die Ahnung;the idea, clue
der Kerl;the guy
der Typ;the guy
schwer;difficult, heavy
kurz;short
gestern;yesterday
wenig;few
das Alter;the age
suchen;to search, to look for
die Schwester;the sister
bestimmt;definitely
die Tochter;the daughter
der Grund;the cause, reason
zeigen;to show, point
das Herz;the heart
das Bett;the bed
überhaupt;at all, generally
gefallen;to please, to be pleasing
die Seite;the page, the side
unten;below, downstairs, down, under, beneath
der Dollar;the dollar bills
versuchen;to try
schlecht;bad
das Wort;the word
erhalten;to receive, to obtain, to maintain
deshalb;therefore, that's why
wohin;whither
eben;even, smooth, level, just
trinken;to drink
das Gesicht;the face
verlassen;to leave sb, abandon sb, lonely, abandoned
der Mensch;the human being, the person
ziemlich;quite, rather, fairly
schlafen;to sleep
zwischen;between
manchmal;sometimes
die Wahrheit;the truth
das Ding;the thing
das Fest;the festival
fest;solid
die Nummer;the number
der Einsatz;the commitment, effort, deployment
während;during, while
wiedersehen;to see again
kriegen;to get, to war, to make war
niemals;never
die Idee;the idea
frei;free
sondern;but, but rather
setzen;to set
der Ort;the place
alt;old
euer;your
ernst;serious
oft;often
einige;several, some, a few
die Schule;the school
das Feuer;the fire
entschuldigen;to apologise
erzählen;to tell, narrate, relate
bloß;mere, merely, just
der Pass;the passport
die Schuld;the debt, the blame
der Spaß;the fun
die Sorge;the worry
der Hund;the dog
wichtig;important
kaum;hardly
falls;if
stellen;to put in an upright position, place, lay, set, stand
die Rede;the speech, the talk
glücklich;happy
früh;early
das Blut;the blood
sechs;six
zuerst;first, initially, primarily, at first, first of all
der Teil;the part, piece, section, portion
lieben;to love, cherish, be fond of
langsam;slow
das Telefon;the telephone
zehn;ten
der Himmel;the sky
die Waffe;the weapon
die Freundin;the female friend, the girlfriend
lernen;to learn, to study
die Tat;the act
die Luft;the air
die Menge;the quantity, amount
außer;except
überall;everywhere
das Licht;the light
voll;full
nennen;to mention, name, call by name
der König;the king
falsch;wrong
wahrscheinlich;probably
die Straße;the street
dürfen;to be allowed to
möglich;possible
ziehen;to pull, drag, draw
die Eltern;the parents
heiraten;to marry
ehrlich;honest
der Kaffee;the coffee
der Arzt;the doctor, physician
das Büro;the office
der Fehler;the mistake, the error
das Stück;the piece
krank;sick
die Stelle;the position
drüben;over there
danach;afterwards, after, subsequently, thereafter
rufen;to call, to shout
schaffen;to create, accomplish, floor sb, manage to do sth
völlig;fully, completely
jemand erinnern;to remind somebody
laufen;to run
direkt;directly
die Suche;the search
still;quiet, calm, still, silent
das Buch;the book
schreiben;to write
trotzdem;still, yet, despite, nevertheless
das Schiff;the ship
die Zukunft;the future
kaufen;to buy, purchase
sitzen;to sit
retten;to rescue, save
leider;unfortunately
tragen;to carry, to wear, bring
irgendwo;somewhere
der Onkel;the uncle
verlieren;to lose
der Mund;the mouth
die Party;the party
leicht;light, easy
der Plan;the plan
der Schlüssel;the key
zwar;admittedly
das Lesen;the reading
lesen;to read
der General;the General
kämpfen;to fight, battle
hart;hard
mögen;to like
